Season,Team,GP,W,L,OL,PTS%
2018-19,Buffalo Sabres,82,33,39,10,.463
2017-18,Buffalo Sabres,82,25,45,12,.378
2016-17,Buffalo Sabres,82,33,37,12,.476
2015-16,Buffalo Sabres,82,35,36,11,.494
2014-15,Buffalo Sabres,82,23,51,8,.329
2013-14,Buffalo Sabres,82,21,51,10,.317
2012-13,Buffalo Sabres,48,21,21,6,.500
2011-12,Buffalo Sabres,82,39,32,11,.543
2010-11,Buffalo Sabres*,82,43,29,10,.585
2009-10,Buffalo Sabres*,82,45,27,10,.610
2008-09,Buffalo Sabres,82,41,32,9,.555
2007-08,Buffalo Sabres,82,39,31,12,.549
