Season,Team,GP,W,L,OL,PTS%
2018-19,Detroit Red Wings,82,32,40,10,.451
2017-18,Detroit Red Wings,82,30,39,13,.445
2016-17,Detroit Red Wings,82,33,36,13,.482
2015-16,Detroit Red Wings,82,41,30,11,.567
2014-15,Detroit Red Wings,82,43,25,14,.610
2013-14,Detroit Red Wings,82,39,28,15,.567
2012-13,Detroit Red Wings,48,24,16,8,.583
2011-12,Detroit Red Wings,82,48,28,6,.622
2010-11,Detroit Red Wings,82,47,25,10,.634
2009-10,Detroit Red Wings,82,44,24,14,.622
2008-09,Detroit Red Wings,82,51,21,10,.683
2007-08,Detroit Red Wings,82,54,21,7,.701
