Season,Team,GP,W,L,OL,PTS%
2018-19,Florida Panthers,82,36,32,14,.524
2017-18,Florida Panthers,82,44,30,8,.585
2016-17,Florida Panthers,82,35,36,11,.494
2015-16,Florida Panthers,82,47,26,9,.628
2014-15,Florida Panthers,82,38,29,15,.555
2013-14,Florida Panthers,82,29,45,8,.402
2012-13,Florida Panthers,48,15,27,6,.375
2011-12,Florida Panthers,82,38,26,18,.573
2010-11,Florida Panthers,82,30,40,12,.439
2009-10,Florida Panthers,82,32,37,13,.470
2008-09,Florida Panthers,82,41,30,11,.567
2007-08,Florida Panthers,82,38,35,9,.518
