Season,Team,GP,W,L,OL,PTS%
2018-19,Montreal Canadiens,82,44,30,8,.585
2017-18,Montreal Canadiens,82,29,40,13,.433
2016-17,Montreal Canadiens,82,47,26,9,.628
2015-16,Montreal Canadiens,82,38,38,6,.500
2014-15,Montreal Canadiens,82,50,22,10,.671
2013-14,Montreal Canadiens,82,46,28,8,.610
2012-13,Montreal Canadiens,48,29,14,5,.656
2011-12,Montreal Canadiens,82,31,35,16,.476
2010-11,Montreal Canadiens,82,44,30,8,.585
2009-10,Montreal Canadiens,82,39,33,10,.537
2008-09,Montreal Canadiens,82,41,30,11,.567
2007-08,Montreal Canadiens,82,47,25,10,.634
