Season,Team,GP,W,L,OL,PTS%
2018-19,Ottawa Senators,82,29,47,6,.390
2017-18,Ottawa Senators,82,28,43,11,.409
2016-17,Ottawa Senators,82,44,28,10,.598
2015-16,Ottawa Senators,82,38,35,9,.518
2014-15,Ottawa Senators,82,43,26,13,.604
2013-14,Ottawa Senators,82,37,31,14,.537
2012-13,Ottawa Senators,48,25,17,6,.583
2011-12,Ottawa Senators,82,41,31,10,.561
2010-11,Ottawa Senators,82,32,40,10,.451
2009-10,Ottawa Senators,82,44,32,6,.573
2008-09,Ottawa Senators,82,36,35,11,.506
2007-08,Ottawa Senators,82,43,31,8,.573
