Season,Team,GP,W,L,OL,PTS%
2018-19,Tampa Bay Lightning,82,62,16,4,.780
2017-18,Tampa Bay Lightning,82,54,23,5,.689
2016-17,Tampa Bay Lightning,82,42,30,10,.573
2015-16,Tampa Bay Lightning,82,46,31,5,.591
2014-15,Tampa Bay Lightning,82,50,24,8,.659
2013-14,Tampa Bay Lightning,82,46,27,9,.616
2012-13,Tampa Bay Lightning,48,18,26,4,.417
2011-12,Tampa Bay Lightning,82,38,36,8,.512
2010-11,Tampa Bay Lightning,82,46,25,11,.628
2009-10,Tampa Bay Lightning,82,34,36,12,.488
2008-09,Tampa Bay Lightning,82,24,40,18,.402
2007-08,Tampa Bay Lightning,82,31,42,9,.433
