Season,Team,GP,W,L,OL,PTS%
2018-19,Toronto Maple Leafs,82,46,28,8,.610
2017-18,Toronto Maple Leafs,82,49,26,7,.640
2016-17,Toronto Maple Leafs,82,40,27,15,.579
2015-16,Toronto Maple Leafs,82,29,42,11,.421
2014-15,Toronto Maple Leafs,82,30,44,8,.415
2013-14,Toronto Maple Leafs,82,38,36,8,.512
2012-13,Toronto Maple Leafs,48,26,17,5,.594
2011-12,Toronto Maple Leafs,82,35,37,10,.488
2010-11,Toronto Maple Leafs,82,37,34,11,.518
2009-10,Toronto Maple Leafs,82,30,38,14,.451
2008-09,Toronto Maple Leafs,82,34,35,13,.494
2007-08,Toronto Maple Leafs,82,36,35,11,.506
