Season,Team,GP,W,L,OL,PTS%
2018-19,New Jersey Devils,82,31,41,10,.439
2017-18,New Jersey Devils,82,44,29,9,.591
2016-17,New Jersey Devils,82,28,40,14,.427
2015-16,New Jersey Devils,82,38,36,8,.512
2014-15,New Jersey Devils,82,32,36,14,.476
2013-14,New Jersey Devils,82,35,29,18,.537
2012-13,New Jersey Devils,48,19,19,10,.500
2011-12,New Jersey Devils,82,48,28,6,.622
2010-11,New Jersey Devils,82,38,39,5,.494
2009-10,New Jersey Devils,82,48,27,7,.628
2008-09,New Jersey Devils,82,51,27,4,.646
2007-08,New Jersey Devils,82,46,29,7,.604
