Season,Team,GP,W,L,OL,PTS%
2018-19,Philadelphia Flyers,82,37,37,8,.500
2017-18,Philadelphia Flyers,82,42,26,14,.598
2016-17,Philadelphia Flyers,82,39,33,10,.537
2015-16,Philadelphia Flyers,82,41,27,14,.585
2014-15,Philadelphia Flyers,82,33,31,18,.512
2013-14,Philadelphia Flyers,82,42,30,10,.573
2012-13,Philadelphia Flyers,48,23,22,3,.510
2011-12,Philadelphia Flyers,82,47,26,9,.628
2010-11,Philadelphia Flyers,82,47,23,12,.646
2009-10,Philadelphia Flyers,82,41,35,6,.537
2008-09,Philadelphia Flyers,82,44,27,11,.604
2007-08,Philadelphia Flyers,82,42,29,11,.579
