Season,Team,GP,W,L,OL,PTS%
2018-19,Washington Capitals,82,48,26,8,.634
2017-18,Washington Capitals,82,49,26,7,.640
2016-17,Washington Capitals,82,55,19,8,.720
2015-16,Washington Capitals,82,56,18,8,.732
2014-15,Washington Capitals,82,45,26,11,.616
2013-14,Washington Capitals,82,38,30,14,.549
2012-13,Washington Capitals,48,27,18,3,.594
2011-12,Washington Capitals,82,42,32,8,.561
2010-11,Washington Capitals,82,48,23,11,.652
2009-10,Washington Capitals,82,54,15,13,.738
2008-09,Washington Capitals,82,50,24,8,.659
2007-08,Washington Capitals,82,43,31,8,.573
