Season,Age,Tm,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN
2011-12,22,FLA,7,2,4,1,17,222,205,.923,2.66,0,383
2012-13,23,FLA,23,8,14,1,68,685,617,.901,3.22,0,1266
2013-14,24,TOT,16,2,8,3,46,361,315,.873,3.39,0,814
2014-15,25,VAN,3,1,1,0,4,33,29,.879,3.09,0,78
2015-16,26,VAN,33,13,14,4,84,988,904,.915,2.73,0,1847
2016-17,27,VAN,26,10,11,3,62,692,630,.910,2.63,0,1417
2017-18,28,VAN,60,23,26,7,154,1745,1591,.912,2.71,2,3414
2018-19,29,VAN,60,28,23,9,166,1896,1730,.912,2.77,1,3599
2019-20,30,VAN,43,23,16,4,117,1420,1303,.918,2.75,2,2552
2020-21,31,CGY,43,22,19,2,111,1161,1050,.904,2.66,3,2508
2021-22,32,CGY,63,37,15,9,137,1754,1617,.922,2.22,9,3696
2022-23,33,CGY,59,23,21,12,166,1542,1376,.892,2.92,1,3411
2023-24,34,CGY,41,22,17,2,108,1194,1086,.910,2.68,2,2417
