Season,Age,Tm,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN
2012-13,22,STL,15,9,4,0,33,346,313,.905,2.46,1,804
2014-15,24,STL,37,22,7,4,79,909,830,.913,2.28,4,2077
2015-16,25,STL,47,26,15,3,101,1260,1159,.920,2.35,6,2583
2016-17,26,STL,61,33,20,5,138,1620,1482,.915,2.42,4,3418
2017-18,27,STL,59,27,25,3,152,1614,1462,.906,2.75,1,3317
2018-19,28,STL,46,19,17,8,121,1277,1156,.905,2.83,3,2568
2019-20,29,STL,24,12,6,3,48,655,607,.927,2.15,2,1339
2020-21,30,MTL,29,11,12,5,76,817,741,.907,2.68,0,1703
2021-22,31,MTL,35,9,20,4,107,1123,1016,.905,3.30,2,1948
2022-23,32,MTL,42,15,24,3,145,1335,1190,.891,3.55,1,2450
2023-24,33,MTL,21,6,12,3,74,686,612,.892,3.65,0,1216
