Season,Age,Tm,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN
2013-14,20,ANA,3,3,0,0,4,87,83,.954,1.33,1,181
2014-15,21,ANA,23,13,8,0,58,674,616,.914,2.60,1,1340
2015-16,22,ANA,40,21,13,4,79,992,913,.920,2.07,4,2295
2016-17,23,ANA,52,25,16,9,109,1437,1328,.924,2.22,6,2950
2017-18,24,ANA,60,31,18,7,139,1872,1733,.926,2.43,4,3428
2018-19,25,ANA,58,26,22,8,153,1838,1685,.917,2.84,2,3233
2019-20,26,ANA,51,20,26,5,149,1552,1403,.904,3.00,1,2981
2020-21,27,ANA,35,9,19,7,101,1042,941,.903,2.98,3,2031
2021-22,28,ANA,56,18,26,11,172,1789,1617,.904,3.19,1,3236
2022-23,29,ANA,53,14,31,8,200,1983,1783,.899,3.99,1,3005
2023-24,30,ANA,40,13,21,2,119,1147,1028,.896,3.22,0,2215
