Season,Age,Tm,GP,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN
1993-94,21,NJD,47,27,11,8,105,1238,1133,.915,2.40,3,2625
1994-95,22,NJD,40,19,11,6,89,908,819,.902,2.44,3,2184
1995-96,23,NJD,77,34,30,12,173,1954,1781,.911,2.34,6,4433
1996-97,24,NJD,67,37,14,13,120,1633,1513,.927,1.88,10,3838
1997-98,25,NJD,70,43,17,8,130,1569,1439,.917,1.89,10,4128
1998-99,26,NJD,70,39,21,10,162,1728,1566,.906,2.29,4,4239
1999-00,27,NJD,72,43,20,8,161,1797,1636,.910,2.24,6,4312
2000-01,28,NJD,72,42,17,11,166,1762,1596,.906,2.32,9,4297
2001-02,29,NJD,73,38,26,9,156,1655,1499,.906,2.15,4,4347
2002-03,30,NJD,73,41,23,9,147,1706,1559,.914,2.02,9,4374
2003-04,31,NJD,75,38,26,11,154,1845,1691,.917,2.03,11,4555
2005-06,33,NJD,73,43,23,7,187,2105,1918,.911,2.57,5,4365
2006-07,34,NJD,78,48,23,7,171,2182,2011,.922,2.18,12,4697
2007-08,35,NJD,77,44,27,6,168,2089,1921,.920,2.17,4,4635
2008-09,36,NJD,31,19,9,3,73,870,797,.916,2.42,5,1814
2009-10,37,NJD,77,45,25,6,168,2004,1836,.916,2.24,9,4499
2010-11,38,NJD,56,23,26,3,127,1313,1186,.903,2.45,6,3116
2011-12,39,NJD,59,31,21,4,136,1472,1336,.908,2.41,3,3392
2012-13,40,NJD,29,13,9,7,65,654,589,.901,2.22,2,1757
2013-14,41,NJD,39,19,14,6,96,971,875,.901,2.51,3,2297
Career,,22 yrs,1266,691,397,154,2781,31709,28928,.912,2.24,125,74439
