Season,Age,Tm,GP,W,L,T/O,GA,SA,SV,SV%
1985-86,20,MTL,47,23,18,3,148,1186,1038,.875
1986-87,21,MTL,46,22,16,6,131,1206,1075,.891
1987-88,22,MTL,45,23,12,9,125,1248,1123,.900
1988-89,23,MTL,48,33,5,6,113,1226,1113,.908
1989-90,24,MTL,54,31,16,5,134,1522,1388,.912
1990-91,25,MTL,48,25,15,6,128,1362,1234,.906
1991-92,26,MTL,67,36,22,8,155,1806,1651,.914
1992-93,27,MTL,62,31,25,5,192,1814,1622,.894
1993-94,28,MTL,68,35,17,11,161,1956,1795,.918
1994-95,29,MTL,43,17,20,6,127,1357,1230,.906
1995-96,30,TOT,61,34,24,2,165,1797,1632,.908
1996-97,31,COL,62,38,15,7,143,1861,1718,.923
1997-98,32,COL,65,31,19,13,153,1825,1672,.916
1998-99,33,COL,61,32,19,8,139,1673,1534,.917
1999-00,34,COL,63,32,21,8,141,1640,1499,.914
2000-01,35,COL,62,40,13,7,132,1513,1381,.913
2001-02,36,COL,63,32,23,8,122,1629,1507,.925
2002-03,37,COL,63,35,15,13,137,1723,1586,.920
