Season,Age,Tm,Lg,GP,GS,W,L,T/O,GA,SA,SV,SV%,GAA,SO,MIN
2013-14,21,DET,NHL,9,6,2,4,0,13,178,165,.927,1.74,2,449
2014-15,22,DET,NHL,29,26,16,9,2,63,768,705,.918,2.38,3,1585
2015-16,23,DET,NHL,54,49,27,16,6,115,1448,1333,.921,2.33,4,2961
2016-17,24,DET,NHL,50,44,18,21,9,145,1462,1317,.901,3.04,1,2858
2017-18,25,TOT,NHL,39,33,14,13,6,106,1080,974,.902,3.03,4,2097
2018-19,26,CAR,NHL,40,40,23,14,3,95,1104,1009,.914,2.39,4,2387
2019-20,27,CAR,NHL,40,38,21,16,2,104,1091,987,.905,2.69,3,2321
2020-21,28,CAR,NHL,12,12,6,2,3,23,298,275,.923,2.06,3,671
2021-22,29,TOR,NHL,20,18,12,6,0,58,520,462,.888,3.34,0,1042
2022-23,30,CHI,NHL,39,38,10,22,3,132,1248,1116,.894,3.66,0,2165
2023-24,31,CHI,NHL,44,42,13,25,4,130,1373,1243,.905,3.11,1,2509
