Season,SV%
2023-24,.904
2022-23,.904
2021-22,.907
2020-21,.908
2019-20,.910
2018-19,.910
2017-18,.912
2016-17,.913
2015-16,.915
2014-15,.915
2013-14,.914
2012-13,.912
2011-12,.914
2010-11,.913
2009-10,.911
2008-09,.908
2007-08,.909
2006-07,.905
2005-06,.901
2003-04,.911
2002-03,.909
2001-02,.908
2000-01,.903
1999-00,.904
1998-99,.908
1997-98,.906
1996-97,.905
1995-96,.898
1994-95,.901
1993-94,.895
1992-93,.885
1991-92,.888
1990-91,.886
1989-90,.881
1988-89,.879
1987-88,.880
1986-87,.880
1985-86,.874
1984-85,.875
1983-84,.873
1982-83,.875
1981-82,.873
1980-81,.876
1979-80,.882
