Season,Team,GP,W,L,OL,PTS%
2018-19,Arizona Coyotes,82,39,35,8,.524
2017-18,Arizona Coyotes,82,29,41,12,.427
2016-17,Arizona Coyotes,82,30,42,10,.427
2015-16,Arizona Coyotes,82,35,39,8,.476
2014-15,Arizona Coyotes,82,24,50,8,.341
2013-14,Phoenix Coyotes,82,37,30,15,.543
2012-13,Phoenix Coyotes,48,21,18,9,.531
2011-12,Phoenix Coyotes,82,42,27,13,.591
2010-11,Phoenix Coyotes,82,43,26,13,.604
2009-10,Phoenix Coyotes,82,50,25,7,.652
2008-09,Phoenix Coyotes,82,36,39,7,.482
2007-08,Phoenix Coyotes,82,38,37,7,.506
