Season,Team,GP,W,L,OL,PTS%
2018-19,Chicago Blackhawks,82,36,34,12,.512
2017-18,Chicago Blackhawks,82,33,39,10,.463
2016-17,Chicago Blackhawks,82,50,23,9,.665
2015-16,Chicago Blackhawks,82,47,26,9,.628
2014-15,Chicago Blackhawks,82,48,28,6,.622
2013-14,Chicago Blackhawks,82,46,21,15,.652
2012-13,Chicago Blackhawks,48,36,7,5,.802
2011-12,Chicago Blackhawks,82,45,26,11,.616
2010-11,Chicago Blackhawks,82,44,29,9,.591
2009-10,Chicago Blackhawks,82,52,22,8,.683
2008-09,Chicago Blackhawks,82,46,24,12,.634
2007-08,Chicago Blackhawks,82,40,34,8,.537
