Season,Team,GP,W,L,OL,PTS%
2018-19,Colorado Avalanche,82,38,30,14,.549
2017-18,Colorado Avalanche,82,43,30,9,.579
2016-17,Colorado Avalanche,82,22,56,4,.293
2015-16,Colorado Avalanche,82,39,39,4,.500
2014-15,Colorado Avalanche,82,39,31,12,.549
2013-14,Colorado Avalanche,82,52,22,8,.683
2012-13,Colorado Avalanche,48,16,25,7,.406
2011-12,Colorado Avalanche,82,41,35,6,.537
2010-11,Colorado Avalanche,82,30,44,8,.415
2009-10,Colorado Avalanche,82,43,30,9,.579
2008-09,Colorado Avalanche,82,32,45,5,.421
2007-08,Colorado Avalanche,82,44,31,7,.579
