Season,Team,GP,W,L,OL,PTS%
2018-19,Minnesota Wild,82,37,36,9,.506
2017-18,Minnesota Wild,82,45,26,11,.616
2016-17,Minnesota Wild,82,49,25,8,.646
2015-16,Minnesota Wild,82,38,33,11,.530
2014-15,Minnesota Wild,82,46,28,8,.610
2013-14,Minnesota Wild,82,43,27,12,.598
2012-13,Minnesota Wild,48,26,19,3,.573
2011-12,Minnesota Wild,82,35,36,11,.494
2010-11,Minnesota Wild,82,39,35,8,.524
2009-10,Minnesota Wild,82,38,36,8,.512
2008-09,Minnesota Wild,82,40,33,9,.543
2007-08,Minnesota Wild,82,44,28,10,.598
