Season,Team,GP,W,L,OL,PTS%
2018-19,Nashville Predators,82,47,29,6,.610
2017-18,Nashville Predators,82,53,18,11,.713
2016-17,Nashville Predators,82,41,29,12,.573
2015-16,Nashville Predators,82,41,27,14,.585
2014-15,Nashville Predators,82,47,25,10,.634
2013-14,Nashville Predators,82,38,32,12,.537
2012-13,Nashville Predators,48,16,23,9,.427
2011-12,Nashville Predators,82,48,26,8,.634
2010-11,Nashville Predators,82,44,27,11,.604
2009-10,Nashville Predators,82,47,29,6,.610
2008-09,Nashville Predators,82,40,34,8,.537
2007-08,Nashville Predators,82,41,32,9,.555
