Season,Team,GP,W,L,OL,PTS%
2018-19,St. Louis Blues,82,45,28,9,.604
2017-18,St. Louis Blues,82,44,32,6,.573
2016-17,St. Louis Blues,82,46,29,7,.604
2015-16,St. Louis Blues,82,49,24,9,.652
2014-15,St. Louis Blues,82,51,24,7,.665
2013-14,St. Louis Blues,82,52,23,7,.677
2012-13,St. Louis Blues,48,29,17,2,.625
2011-12,St. Louis Blues,82,49,22,11,.665
2010-11,St. Louis Blues,82,38,33,11,.530
2009-10,St. Louis Blues,82,40,32,10,.549
2008-09,St. Louis Blues,82,41,31,10,.561
2007-08,St. Louis Blues,82,33,36,13,.482
