Season,Team,GP,W,L,OL,PTS%
2018-19,Winnipeg Jets,82,47,30,5,.604
2017-18,Winnipeg Jets,82,52,20,10,.695
2016-17,Winnipeg Jets,82,40,35,7,.530
2015-16,Winnipeg Jets,82,35,39,8,.476
2014-15,Winnipeg Jets,82,43,26,13,.604
2013-14,Winnipeg Jets,82,37,35,10,.512
2012-13,Winnipeg Jets,48,24,21,3,.531
2011-12,Winnipeg Jets,82,37,35,10,.512
2010-11,Atlanta Thrashers,82,34,36,12,.488
2009-10,Atlanta Thrashers,82,35,34,13,.506
2008-09,Atlanta Thrashers,82,35,41,6,.463
2007-08,Atlanta Thrashers,82,34,40,8,.463
