Season,Team,GP,W,L,OL,PTS%
2018-19,Calgary Flames,82,50,25,7,.652
2017-18,Calgary Flames,82,37,35,10,.512
2016-17,Calgary Flames,82,45,33,4,.573
2015-16,Calgary Flames,82,35,40,7,.470
2014-15,Calgary Flames,82,45,30,7,.591
2013-14,Calgary Flames,82,35,40,7,.470
2012-13,Calgary Flames,48,19,25,4,.438
2011-12,Calgary Flames,82,37,29,16,.549
2010-11,Calgary Flames,82,41,29,12,.573
2009-10,Calgary Flames,82,40,32,10,.549
2008-09,Calgary Flames,82,46,30,6,.598
2007-08,Calgary Flames,82,42,30,10,.573
