Season,Team,GP,W,L,OL,PTS%
2018-19,Edmonton Oilers,82,35,38,9,.482
2017-18,Edmonton Oilers,82,36,40,6,.476
2016-17,Edmonton Oilers,82,47,26,9,.628
2015-16,Edmonton Oilers,82,31,43,8,.427
2014-15,Edmonton Oilers,82,24,44,14,.378
2013-14,Edmonton Oilers,82,29,44,9,.409
2012-13,Edmonton Oilers,48,19,22,7,.469
2011-12,Edmonton Oilers,82,32,40,10,.451
2010-11,Edmonton Oilers,82,25,45,12,.378
2009-10,Edmonton Oilers,82,27,47,8,.378
2008-09,Edmonton Oilers,82,38,35,9,.518
2007-08,Edmonton Oilers,82,41,35,6,.537
