Season,Team,GP,W,L,OL,PTS%
2018-19,Los Angeles Kings,82,31,42,9,.433
2017-18,Los Angeles Kings,82,45,29,8,.598
2016-17,Los Angeles Kings,82,39,35,8,.524
2015-16,Los Angeles Kings,82,48,28,6,.622
2014-15,Los Angeles Kings,82,40,27,15,.579
2013-14,Los Angeles Kings,82,46,28,8,.610
2012-13,Los Angeles Kings,48,27,16,5,.615
2011-12,Los Angeles Kings,82,40,27,15,.579
2010-11,Los Angeles Kings,82,46,30,6,.598
2009-10,Los Angeles Kings,82,46,27,9,.616
2008-09,Los Angeles Kings,82,34,37,11,.482
2007-08,Los Angeles Kings,82,32,43,7,.433
