Season,Team,GP,W,L,OL,PTS%
2018-19,San Jose Sharks,82,46,27,9,.616
2017-18,San Jose Sharks,82,45,27,10,.610
2016-17,San Jose Sharks,82,46,29,7,.604
2015-16,San Jose Sharks,82,46,30,6,.598
2014-15,San Jose Sharks,82,40,33,9,.543
2013-14,San Jose Sharks,82,51,22,9,.677
2012-13,San Jose Sharks,48,25,16,7,.594
2011-12,San Jose Sharks,82,43,29,10,.585
2010-11,San Jose Sharks,82,48,25,9,.640
2009-10,San Jose Sharks,82,51,20,11,.689
2008-09,San Jose Sharks,82,53,18,11,.713
2007-08,San Jose Sharks,82,49,23,10,.659
