Season,Team,GP,W,L,OL,PTS%
2018-19,Vancouver Canucks,82,35,36,11,.494
2017-18,Vancouver Canucks,82,31,40,11,.445
2016-17,Vancouver Canucks,82,30,43,9,.421
2015-16,Vancouver Canucks,82,31,38,13,.457
2014-15,Vancouver Canucks,82,48,29,5,.616
2013-14,Vancouver Canucks,82,36,35,11,.506
2012-13,Vancouver Canucks,48,26,15,7,.615
2011-12,Vancouver Canucks,82,51,22,9,.677
2010-11,Vancouver Canucks,82,54,19,9,.713
2009-10,Vancouver Canucks,82,49,28,5,.628
2008-09,Vancouver Canucks,82,45,27,10,.610
2007-08,Vancouver Canucks,82,39,33,10,.537
