Season,Team,GP,W,L,OL,PTS%
2018-19,Carolina Hurricanes*,82,46,29,7,.604
2017-18,Carolina Hurricanes,82,36,35,11,.506
2016-17,Carolina Hurricanes,82,36,31,15,.530
2015-16,Carolina Hurricanes,82,35,31,16,.524
2014-15,Carolina Hurricanes,82,30,41,11,.433
2013-14,Carolina Hurricanes,82,36,35,11,.506
2012-13,Carolina Hurricanes,48,19,25,4,.438
2011-12,Carolina Hurricanes,82,33,33,16,.500
2010-11,Carolina Hurricanes,82,40,31,11,.555
2009-10,Carolina Hurricanes,82,35,37,10,.488
2008-09,Carolina Hurricanes*,82,45,30,7,.591
2007-08,Carolina Hurricanes,82,43,33,6,.561
