Season,Team,GP,W,L,OL,PTS%
2018-19,Columbus Blue Jackets,82,47,31,4,.598
2017-18,Columbus Blue Jackets,82,45,30,7,.591
2016-17,Columbus Blue Jackets,82,50,24,8,.659
2015-16,Columbus Blue Jackets,82,34,40,8,.463
2014-15,Columbus Blue Jackets,82,42,35,5,.543
2013-14,Columbus Blue Jackets,82,43,32,7,.567
2012-13,Columbus Blue Jackets,48,24,17,7,.573
2011-12,Columbus Blue Jackets,82,29,46,7,.396
2010-11,Columbus Blue Jackets,82,34,35,13,.494
2009-10,Columbus Blue Jackets,82,32,35,15,.482
2008-09,Columbus Blue Jackets,82,41,31,10,.561
2007-08,Columbus Blue Jackets,82,34,36,12,.488
