Season,Team,GP,W,L,OL,PTS%
2018-19,New York Rangers,82,32,36,14,.476
2017-18,New York Rangers,82,34,39,9,.470
2016-17,New York Rangers,82,48,28,6,.622
2015-16,New York Rangers,82,46,27,9,.616
2014-15,New York Rangers,82,53,22,7,.689
2013-14,New York Rangers,82,45,31,6,.585
2012-13,New York Rangers,48,26,18,4,.583
2011-12,New York Rangers,82,51,24,7,.665
2010-11,New York Rangers,82,44,33,5,.567
2009-10,New York Rangers,82,38,33,11,.530
2008-09,New York Rangers,82,43,30,9,.579
2007-08,New York Rangers,82,42,27,13,.591
