Season,Team,GP,W,L,OL,PTS%
2018-19,Pittsburgh Penguins,82,44,26,12,.610
2017-18,Pittsburgh Penguins,82,47,29,6,.610
2016-17,Pittsburgh Penguins,82,50,21,11,.677
2015-16,Pittsburgh Penguins,82,48,26,8,.634
2014-15,Pittsburgh Penguins,82,43,27,12,.598
2013-14,Pittsburgh Penguins,82,51,24,7,.665
2012-13,Pittsburgh Penguins,48,36,12,0,.750
2011-12,Pittsburgh Penguins,82,51,25,6,.659
2010-11,Pittsburgh Penguins,82,49,25,8,.646
2009-10,Pittsburgh Penguins,82,47,28,7,.616
2008-09,Pittsburgh Penguins,82,45,28,9,.604
2007-08,Pittsburgh Penguins,82,47,27,8,.622
