"","team","season","pts_pct"
"1","NYR","2023-24",0.691
"2","NYR","2022-23",0.652
"3","NYR","2021-22",0.671
"4","NYR","2020-21",0.536
"5","NYR","2019-20",0.564
"6","NYR","2018-19",0.476
"7","NYR","2017-18",0.47
"8","NYR","2016-17",0.622
"9","NYR","2015-16",0.616
"10","NYR","2014-15",0.689
"11","NYR","2013-14",0.585
"12","NYR","2012-13",0.583
"13","NYR","2011-12",0.665
"14","NYR","2010-11",0.567
"15","NYR","2009-10",0.53
"16","NYR","2008-09",0.579
"17","NYR","2007-08",0.591
"18","NYR","2006-07",0.573
"19","NYR","2005-06",0.61
"20","NYR","2003-04",0.421
"21","NYR","2002-03",0.476
"22","NYR","2001-02",0.488
"23","NYR","2000-01",0.439
"24","NYR","1999-00",0.445
"25","NYR","1998-99",0.47
"26","NYR","1997-98",0.415
"27","NYR","1996-97",0.524
"28","NYR","1995-96",0.585
"29","NYR","1994-95",0.49
"30","NYR","1993-94",0.667
"31","NYR","1992-93",0.47
"32","NYR","1991-92",0.656
"33","NYR","1990-91",0.531
"34","NYR","1989-90",0.531
"35","NYR","1988-89",0.513
"36","NYR","1987-88",0.513
"37","NYR","1986-87",0.475
"38","NYR","1985-86",0.488
"39","NYR","1984-85",0.388
"40","NYR","1983-84",0.581
"41","NYR","1982-83",0.5
"42","NYR","1981-82",0.575
"43","NYR","1980-81",0.463
"44","NYR","1979-80",0.538
"45","NYR","1978-79",0.569
"46","NYR","1977-78",0.456
"47","NYR","1976-77",0.45
"48","NYR","1975-76",0.419
"49","NYR","1974-75",0.55
"50","NYR","1973-74",0.603
"51","CAR","2023-24",0.662
"52","CAR","2022-23",0.689
"53","CAR","2021-22",0.707
"54","CAR","2020-21",0.714
"55","CAR","2019-20",0.596
"56","CAR","2018-19",0.604
"57","CAR","2017-18",0.506
"58","CAR","2016-17",0.53
"59","CAR","2015-16",0.524
"60","CAR","2014-15",0.433
"61","CAR","2013-14",0.506
"62","CAR","2012-13",0.438
"63","CAR","2011-12",0.5
"64","CAR","2010-11",0.555
"65","CAR","2009-10",0.488
"66","CAR","2008-09",0.591
"67","CAR","2007-08",0.561
"68","CAR","2006-07",0.537
"69","CAR","2005-06",0.683
"70","CAR","2003-04",0.463
"71","CAR","2002-03",0.372
"72","CAR","2001-02",0.555
"73","CAR","2000-01",0.537
"74","CAR","1999-00",0.512
"75","CAR","1998-99",0.524
"76","CAR","1997-98",0.451
"77",NA,"1996-97",0.457
"78",NA,"1995-96",0.47
"79",NA,"1994-95",0.448
"80",NA,"1993-94",0.375
"81",NA,"1992-93",0.345
"82",NA,"1991-92",0.406
"83",NA,"1990-91",0.456
"84",NA,"1989-90",0.531
"85",NA,"1988-89",0.494
"86",NA,"1987-88",0.481
"87",NA,"1986-87",0.581
"88",NA,"1985-86",0.525
"89",NA,"1984-85",0.431
"90",NA,"1983-84",0.413
"91",NA,"1982-83",0.281
"92",NA,"1981-82",0.375
"93",NA,"1980-81",0.375
"94",NA,"1979-80",0.456
"95","PHI","2023-24",0.559
"96","PHI","2022-23",0.457
"97","PHI","2021-22",0.372
"98","PHI","2020-21",0.518
"99","PHI","2019-20",0.645
"100","PHI","2018-19",0.5
"101","PHI","2017-18",0.598
"102","PHI","2016-17",0.537
"103","PHI","2015-16",0.585
"104","PHI","2014-15",0.512
"105","PHI","2013-14",0.573
"106","PHI","2012-13",0.51
"107","PHI","2011-12",0.628
"108","PHI","2010-11",0.646
"109","PHI","2009-10",0.537
"110","PHI","2008-09",0.604
"111","PHI","2007-08",0.579
"112","PHI","2006-07",0.341
"113","PHI","2005-06",0.616
"114","PHI","2003-04",0.616
"115","PHI","2002-03",0.652
"116","PHI","2001-02",0.591
"117","PHI","2000-01",0.61
"118","PHI","1999-00",0.64
"119","PHI","1998-99",0.567
"120","PHI","1997-98",0.579
"121","PHI","1996-97",0.628
"122","PHI","1995-96",0.628
"123","PHI","1994-95",0.625
"124","PHI","1993-94",0.476
"125","PHI","1992-93",0.494
"126","PHI","1991-92",0.469
"127","PHI","1990-91",0.475
"128","PHI","1989-90",0.444
"129","PHI","1988-89",0.5
"130","PHI","1987-88",0.531
"131","PHI","1986-87",0.625
"132","PHI","1985-86",0.688
"133","PHI","1984-85",0.706
"134","PHI","1983-84",0.613
"135","PHI","1982-83",0.663
